2024-06-18 22:30:46,997 INFO    StreamThr :247824 [internal.py:wandb_internal():86] W&B internal server running at pid: 247824, started at: 2024-06-18 22:30:46.997017
2024-06-18 22:30:47,000 DEBUG   HandlerThread:247824 [handler.py:handle_request():146] handle_request: status
2024-06-18 22:30:47,001 INFO    WriterThread:247824 [datastore.py:open_for_write():87] open: /home/paperspace/unsloth/unsloth/wandb/run-20240618_223046-bnmu9pzw/run-bnmu9pzw.wandb
2024-06-18 22:30:47,001 DEBUG   SenderThread:247824 [sender.py:send():379] send: header
2024-06-18 22:30:47,021 DEBUG   SenderThread:247824 [sender.py:send():379] send: run
2024-06-18 22:30:47,166 INFO    SenderThread:247824 [dir_watcher.py:__init__():211] watching files in: /home/paperspace/unsloth/unsloth/wandb/run-20240618_223046-bnmu9pzw/files
2024-06-18 22:30:47,166 INFO    SenderThread:247824 [sender.py:_start_run_threads():1124] run started: bnmu9pzw with start time 1718749846.996833
2024-06-18 22:30:47,174 DEBUG   HandlerThread:247824 [handler.py:handle_request():146] handle_request: check_version
2024-06-18 22:30:47,174 DEBUG   SenderThread:247824 [sender.py:send_request():406] send_request: check_version
2024-06-18 22:30:47,239 DEBUG   HandlerThread:247824 [handler.py:handle_request():146] handle_request: run_start
2024-06-18 22:30:47,247 DEBUG   HandlerThread:247824 [system_info.py:__init__():26] System info init
2024-06-18 22:30:47,247 DEBUG   HandlerThread:247824 [system_info.py:__init__():41] System info init done
2024-06-18 22:30:47,247 INFO    HandlerThread:247824 [system_monitor.py:start():194] Starting system monitor
2024-06-18 22:30:47,247 INFO    SystemMonitor:247824 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-18 22:30:47,248 INFO    HandlerThread:247824 [system_monitor.py:probe():214] Collecting system info
2024-06-18 22:30:47,248 INFO    SystemMonitor:247824 [interfaces.py:start():190] Started cpu monitoring
2024-06-18 22:30:47,249 INFO    SystemMonitor:247824 [interfaces.py:start():190] Started disk monitoring
2024-06-18 22:30:47,250 INFO    SystemMonitor:247824 [interfaces.py:start():190] Started gpu monitoring
